136,108,100
129,108,100
150,108,100
143,108,100
171,80,100
87,115,100
171,59,100
171,122,100
59,122,100
157,129,100
129,129,100
66,122,100
171,24,100
171,150,100
171,143,100
171,101,100
80,122,100
73,122,100
115,157,100
164,17,100
157,59,100
87,101,100
157,17,100
94,164,100
87,108,100
52,171,100
164,136,100
171,73,100
66,178,100
101,164,100
171,31,100
164,157,100
171,94,100
150,59,100
150,122,100
143,129,100
87,164,100
52,164,100
45,164,100
171,129,100
164,129,100
80,115,100
80,164,100
150,24,100
171,157,100
171,66,100
157,157,100
143,24,100
73,171,100
164,24,100
59,171,100
171,52,100
143,59,100
136,59,100
143,31,100
171,45,100
164,59,100
150,150,100
143,150,100
122,59,100
171,38,100
38,143,100
31,143,100
108,66,100
129,150,100
59,178,100
45,136,100
38,150,100
122,101,100
115,59,100
94,87,100
129,59,100
87,94,100
45,157,100
171,136,100
122,157,100
45,129,100
101,73,100
150,115,100
150,129,100
94,80,100
136,129,100
115,94,100
136,150,100
171,87,100
38,136,100
171,115,100
52,122,100
24,143,100
171,108,100
