Boids()
Step 160, 0 has arrived, 0 collisions
Step 161, 0 has arrived, 0 collisions
Step 162, 0 has arrived, 0 collisions
Step 163, 0 has arrived, 0 collisions
Step 164, 0 has arrived, 0 collisions
Step 165, 0 has arrived, 0 collisions
Step 166, 0 has arrived, 0 collisions
Step 167, 0 has arrived, 0 collisions
Step 168, 0 has arrived, 0 collisions
Step 169, 0 has arrived, 0 collisions
Step 170, 0 has arrived, 0 collisions
Step 171, 0 has arrived, 0 collisions
Step 172, 0 has arrived, 0 collisions
Step 173, 0 has arrived, 0 collisions
Step 174, 0 has arrived, 0 collisions
Step 175, 0 has arrived, 0 collisions
Step 176, 0 has arrived, 0 collisions
Step 177, 0 has arrived, 0 collisions
Step 178, 0 has arrived, 0 collisions
Step 179, 0 has arrived, 0 collisions
Step 180, 0 has arrived, 0 collisions
Step 181, 0 has arrived, 0 collisions
Step 182, 0 has arrived, 0 collisions
Step 183, 0 has arrived, 0 collisions
Step 184, 0 has arrived, 0 collisions
Step 185, 0 has arrived, 0 collisions
Step 186, 0 has arrived, 0 collisions
Step 187, 0 has arrived, 0 collisions
Step 188, 0 has arrived, 0 collisions
Step 189, 0 has arrived, 0 collisions
Step 190, 0 has arrived, 0 collisions
Step 191, 0 has arrived, 0 collisions
Step 192, 0 has arrived, 0 collisions
Step 193, 0 has arrived, 0 collisions
Step 194, 0 has arrived, 0 collisions
Step 195, 0 has arrived, 0 collisions
Step 196, 0 has arrived, 0 collisions
Step 197, 0 has arrived, 0 collisions
Step 198, 0 has arrived, 0 collisions
Step 199, 0 has arrived, 0 collisions
Step 200, 0 has arrived, 0 collisions
Step 201, 0 has arrived, 0 collisions
Step 202, 0 has arrived, 0 collisions
Step 203, 0 has arrived, 0 collisions
Step 204, 0 has arrived, 0 collisions
Step 205, 0 has arrived, 0 collisions
Step 206, 0 has arrived, 0 collisions
Step 207, 0 has arrived, 0 collisions
Step 208, 0 has arrived, 0 collisions
Step 209, 0 has arrived, 0 collisions
Step 210, 0 has arrived, 0 collisions
Step 211, 0 has arrived, 0 collisions
Step 212, 0 has arrived, 0 collisions
Step 213, 0 has arrived, 0 collisions
Step 214, 0 has arrived, 0 collisions
Step 215, 0 has arrived, 0 collisions
Step 216, 0 has arrived, 0 collisions
Step 217, 0 has arrived, 0 collisions
Step 218, 0 has arrived, 0 collisions
Step 219, 0 has arrived, 0 collisions
Step 220, 0 has arrived, 0 collisions
Step 221, 0 has arrived, 0 collisions
Step 222, 0 has arrived, 0 collisions
Step 223, 0 has arrived, 0 collisions
Step 224, 0 has arrived, 0 collisions
Step 225, 0 has arrived, 0 collisions
Step 226, 0 has arrived, 0 collisions
Step 227, 0 has arrived, 0 collisions
Step 228, 0 has arrived, 0 collisions
